,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL220916C00040000,2021-11-04 19:21:52,40.0,111.2,111.75,112.05,0.0,0.0,225,87.0,0.7417018017578124,True,REGULAR,USD
1,AAPL220916C00041250,2021-10-21 16:07:50,41.25,109.95,110.4,110.75,0.0,0.0,108,16.0,0.7070341796875,True,REGULAR,USD
2,AAPL220916C00042500,2021-10-25 16:29:45,42.5,108.7,109.3,109.6,0.0,0.0,14,4.0,0.7202176416015625,True,REGULAR,USD
3,AAPL220916C00043750,2021-10-28 15:26:06,43.75,107.25,107.95,108.35,0.0,0.0,200,11.0,0.6938507177734375,True,REGULAR,USD
4,AAPL220916C00045000,2021-10-25 16:32:22,45.0,103.69,106.85,107.25,0.0,0.0,71,4.0,0.70898728515625,True,REGULAR,USD
5,AAPL220916C00046250,2021-10-29 15:19:06,46.25,101.15,105.55,105.85,0.0,0.0,54,0.0,0.6748079394531252,True,REGULAR,USD
6,AAPL220916C00047500,2021-11-04 18:42:51,47.5,103.7,104.25,104.6,0.0,0.0,19,0.0,0.6555210229492189,True,REGULAR,USD
7,AAPL220916C00048750,2021-11-04 14:48:52,48.75,103.1,103.0,103.3,0.0,0.0,36,0.0,0.6367223828125,True,REGULAR,USD
8,AAPL220916C00050000,2021-11-04 16:31:57,50.0,101.3,101.9,102.25,0.0,0.0,54,199.0,0.6552768847656252,True,REGULAR,USD
9,AAPL220916C00052500,2021-11-04 19:14:39,52.5,98.98,99.2,99.6,0.0,0.0,420,401.0,0.5976602734375001,True,REGULAR,USD
10,AAPL220916C00055000,2021-11-04 15:57:36,55.0,96.47,96.75,97.15,0.0,0.0,290,50.0,0.5820354296875,True,REGULAR,USD
11,AAPL220916C00057500,2021-11-04 17:40:33,57.5,93.95,94.6,95.0,0.0,0.0,307,315.0,0.6098671826171876,True,REGULAR,USD
12,AAPL220916C00060000,2021-10-28 14:32:29,60.0,91.39,91.1,92.4,0.0,0.0,158,1729.0,0.5974161352539062,True,REGULAR,USD
13,AAPL220916C00062500,2021-11-04 18:04:23,62.5,89.09,89.55,89.85,0.0,0.0,102,773.0,0.5495650512695314,True,REGULAR,USD
14,AAPL220916C00065000,2021-11-04 19:36:51,65.0,86.54,87.05,87.45,0.0,0.0,302,2447.0,0.5336960693359375,True,REGULAR,USD
15,AAPL220916C00067500,2021-11-04 19:17:17,67.5,84.09,84.55,85.0,0.0,0.0,230,1214.0,0.5151415673828125,True,REGULAR,USD
16,AAPL220916C00070000,2021-11-04 17:41:08,70.0,81.6,82.2,82.6,0.0,0.0,54,1204.0,0.5075732836914062,True,REGULAR,USD
17,AAPL220916C00072500,2021-11-04 19:37:12,72.5,79.26,79.65,80.05,0.0,0.0,68,581.0,0.5014698291015626,True,REGULAR,USD
18,AAPL220916C00075000,2021-11-04 19:37:12,75.0,76.86,77.35,77.75,0.0,0.0,63,2110.0,0.4982960327148438,True,REGULAR,USD
19,AAPL220916C00076250,2021-10-18 15:43:24,76.25,69.82,76.1,76.6,0.0,0.0,5,337.0,0.49609878906250005,True,REGULAR,USD
20,AAPL220916C00077500,2021-11-04 13:43:47,77.5,74.35,74.9,75.25,0.0,0.0,297,598.0,0.47827670166015623,True,REGULAR,USD
21,AAPL220916C00078750,2021-11-04 18:53:33,78.75,73.15,72.4,75.4,0.0,0.0,1,0.0,0.5592085095214845,True,REGULAR,USD
22,AAPL220916C00080000,2021-11-04 15:45:14,80.0,71.79,72.3,72.7,0.0,0.0,6,856.0,0.4549615051269531,True,REGULAR,USD
23,AAPL220916C00081250,2021-10-20 13:42:43,81.25,69.05,71.2,71.55,0.0,0.0,4,383.0,0.45300839965820316,True,REGULAR,USD
24,AAPL220916C00082500,2021-11-04 19:49:38,82.5,69.52,70.0,70.35,0.0,0.0,3,402.0,0.44727115234375,True,REGULAR,USD
25,AAPL220916C00083750,2021-11-05 13:30:04,83.75,68.92,68.95,69.3,0.55999756,0.81918895,50,405.0,0.4514215014648438,True,REGULAR,USD
26,AAPL220916C00085000,2021-10-29 18:36:07,85.0,65.11,67.7,68.1,0.0,0.0,14,489.0,0.4451959777832031,True,REGULAR,USD
27,AAPL220916C00086250,2021-11-03 17:04:56,86.25,65.0,66.55,66.9,0.0,0.0,1,534.0,0.43897045410156255,True,REGULAR,USD
28,AAPL220916C00087500,2021-11-05 13:30:02,87.5,65.25,65.15,65.6,3.4199982,5.5312924,4,2260.0,0.42664147583007817,True,REGULAR,USD
29,AAPL220916C00090000,2021-11-03 18:54:54,90.0,62.5,62.85,63.25,0.0,0.0,8,6785.0,0.4173031903076171,True,REGULAR,USD
30,AAPL220916C00092500,2021-10-28 16:48:57,92.5,61.45,60.5,60.85,0.0,0.0,10,1252.0,0.4048521429443359,True,REGULAR,USD
31,AAPL220916C00095000,2021-10-29 13:58:48,95.0,57.9,58.25,58.55,0.0,0.0,1,1725.0,0.397466962890625,True,REGULAR,USD
32,AAPL220916C00097500,2021-11-02 17:22:08,97.5,56.3,55.85,56.2,0.0,0.0,2,848.0,0.3870300555419921,True,REGULAR,USD
33,AAPL220916C00100000,2021-11-04 15:29:18,100.0,53.25,53.6,53.95,0.0,0.0,31,5361.0,0.38080453186035157,True,REGULAR,USD
34,AAPL220916C00102500,2021-10-29 14:31:56,102.5,49.8,51.3,51.6,0.0,0.0,2,686.0,0.36963520996093746,True,REGULAR,USD
35,AAPL220916C00105000,2021-11-02 19:44:48,105.0,48.54,49.25,49.5,0.0,0.0,4,2030.0,0.3679872772216797,True,REGULAR,USD
36,AAPL220916C00107500,2021-11-04 17:06:26,107.5,46.05,46.8,47.15,0.0,0.0,39,2630.0,0.355902437133789,True,REGULAR,USD
37,AAPL220916C00110000,2021-11-04 18:14:51,110.0,44.02,44.65,45.0,0.0,0.0,7,3069.0,0.3505924316406249,True,REGULAR,USD
38,AAPL220916C00112500,2021-11-04 17:44:44,112.5,42.08,42.65,42.95,0.0,0.0,41,2972.0,0.34766277343749996,True,REGULAR,USD
39,AAPL220916C00115000,2021-11-04 18:47:48,115.0,39.7,40.5,40.75,0.0,0.0,1,3692.0,0.33899586791992187,True,REGULAR,USD
40,AAPL220916C00117500,2021-11-03 19:48:51,117.5,38.02,38.2,38.5,0.0,0.0,1,3613.0,0.3284368914794922,True,REGULAR,USD
41,AAPL220916C00120000,2021-11-04 17:35:21,120.0,35.79,36.15,36.45,0.0,0.0,165,3948.0,0.32294378234863275,True,REGULAR,USD
42,AAPL220916C00122500,2021-11-04 17:32:51,122.5,33.76,34.25,34.5,0.0,0.0,4,3019.0,0.319220675048828,True,REGULAR,USD
43,AAPL220916C00125000,2021-11-04 18:53:40,125.0,31.85,32.25,32.55,0.0,0.0,33,23439.0,0.31445998046874996,True,REGULAR,USD
44,AAPL220916C00130000,2021-11-04 14:44:33,130.0,28.2,28.65,28.95,0.0,0.0,32,15055.0,0.3089058367919921,True,REGULAR,USD
