,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL220916P00040000,2021-10-26 18:06:03,40.0,0.11,0.09,0.13,0.0,0.0,1.0,1041.0,0.5937540625000001,False,REGULAR,USD
1,AAPL220916P00041250,2021-10-27 18:46:40,41.25,0.15,0.06,0.17,0.0,0.0,2.0,319.0,0.5839885351562499,False,REGULAR,USD
2,AAPL220916P00042500,2021-11-03 13:48:56,42.5,0.15,0.09,0.16,0.0,0.0,4.0,0.0,0.57617611328125,False,REGULAR,USD
3,AAPL220916P00043750,2021-10-18 13:30:21,43.75,0.22,0.09,0.2,0.0,0.0,2.0,276.0,0.5742230078125,False,REGULAR,USD
4,AAPL220916P00045000,2021-10-20 19:18:32,45.0,0.22,0.11,0.21,0.0,0.0,1.0,1418.0,0.569340244140625,False,REGULAR,USD
5,AAPL220916P00046250,2021-10-27 14:50:34,46.25,0.2,0.12,0.23,0.0,0.0,2.0,5106.0,0.5634809277343751,False,REGULAR,USD
6,AAPL220916P00047500,2021-10-27 14:49:55,47.5,0.18,0.14,0.25,0.0,0.0,1.0,4001.0,0.559574716796875,False,REGULAR,USD
7,AAPL220916P00048750,2021-10-27 14:49:50,48.75,0.25,0.16,0.26,0.0,0.0,4.0,173.0,0.5537154003906251,False,REGULAR,USD
8,AAPL220916P00050000,2021-10-28 13:58:21,50.0,0.21,0.17,0.27,0.0,0.0,30.0,1233.0,0.5449264257812501,False,REGULAR,USD
9,AAPL220916P00052500,2021-11-02 15:11:08,52.5,0.27,0.21,0.0,0.0,0.0,4.0,1641.0,0.2500075,False,REGULAR,USD
10,AAPL220916P00055000,2021-10-22 19:54:20,55.0,0.38,0.25,0.35,0.0,0.0,49.0,1331.0,0.5239305419921875,False,REGULAR,USD
11,AAPL220916P00057500,2021-11-02 14:19:25,57.5,0.33,0.29,0.39,0.0,0.0,8.0,696.0,0.5122119091796875,False,REGULAR,USD
12,AAPL220916P00060000,2021-10-22 18:35:22,60.0,0.49,0.33,0.43,0.0,0.0,7.0,491.0,0.500005,False,REGULAR,USD
13,AAPL220916P00062500,2021-10-28 14:07:01,62.5,0.49,0.38,0.48,0.0,0.0,4.0,1573.0,0.4985401708984375,False,REGULAR,USD
14,AAPL220916P00065000,2021-11-01 18:28:27,65.0,0.51,0.44,0.5,0.0,0.0,2.0,581.0,0.4819387744140625,False,REGULAR,USD
15,AAPL220916P00067500,2021-10-18 14:35:42,67.5,0.73,0.5,0.57,0.0,0.0,22.0,594.0,0.47290566162109376,False,REGULAR,USD
16,AAPL220916P00070000,2021-10-28 15:15:45,70.0,0.62,0.56,0.64,0.0,0.0,5.0,1656.0,0.4633842724609375,False,REGULAR,USD
17,AAPL220916P00072500,2021-11-03 17:46:42,72.5,0.64,0.62,0.7,0.0,0.0,8.0,840.0,0.4519097778320313,False,REGULAR,USD
18,AAPL220916P00075000,2021-11-03 19:29:03,75.0,0.72,0.69,0.77,0.0,0.0,4.0,1775.0,0.44165597412109375,False,REGULAR,USD
19,AAPL220916P00076250,2021-10-25 16:24:13,76.25,0.98,0.73,0.81,0.0,0.0,1.0,303.0,0.43677321044921874,False,REGULAR,USD
20,AAPL220916P00077500,2021-10-26 19:08:12,77.5,1.0,0.77,0.85,0.0,0.0,18.0,3415.0,0.4317683776855469,False,REGULAR,USD
21,AAPL220916P00078750,2021-10-26 13:47:29,78.75,1.05,0.81,0.89,0.0,0.0,1.0,389.0,0.42676354492187507,False,REGULAR,USD
22,AAPL220916P00080000,2021-11-04 19:49:17,80.0,0.9,0.85,0.93,0.0,0.0,35.0,6805.0,0.42163664306640625,False,REGULAR,USD
23,AAPL220916P00081250,2021-10-27 19:30:16,81.25,1.16,0.9,0.98,0.0,0.0,4.0,405.0,0.4172421557617187,False,REGULAR,USD
24,AAPL220916P00082500,2021-10-27 19:33:53,82.5,1.22,0.95,1.03,0.0,0.0,3.0,516.0,0.41272559936523434,False,REGULAR,USD
25,AAPL220916P00083750,2021-10-28 19:24:40,83.75,1.07,1.0,1.08,0.0,0.0,1.0,531.0,0.40820904296875,False,REGULAR,USD
26,AAPL220916P00085000,2021-11-02 17:39:45,85.0,1.1,1.05,1.13,0.0,0.0,387.0,1101.0,0.40344834838867194,False,REGULAR,USD
27,AAPL220916P00086250,2021-11-04 18:35:13,86.25,1.16,1.09,1.18,0.0,0.0,4.0,591.0,0.39856558471679693,False,REGULAR,USD
28,AAPL220916P00087500,2021-11-04 16:36:12,87.5,1.19,1.16,1.24,0.0,0.0,6.0,771.0,0.39441523559570313,False,REGULAR,USD
29,AAPL220916P00090000,2021-11-04 19:39:09,90.0,1.32,1.28,1.36,0.0,0.0,7.0,3819.0,0.385626260986328,False,REGULAR,USD
30,AAPL220916P00092500,2021-11-04 17:59:21,92.5,1.46,1.43,1.52,0.0,0.0,3.0,1063.0,0.37879039184570307,False,REGULAR,USD
31,AAPL220916P00095000,2021-11-04 16:37:05,95.0,1.6,1.57,1.66,0.0,0.0,2.0,10123.0,0.370123486328125,False,REGULAR,USD
32,AAPL220916P00097500,2021-11-01 18:23:00,97.5,1.77,1.75,1.83,0.0,0.0,12.0,1978.0,0.36249416809082036,False,REGULAR,USD
33,AAPL220916P00100000,2021-11-04 17:25:45,100.0,2.0,1.93,2.04,0.0,0.0,152.0,10587.0,0.3562686444091796,False,REGULAR,USD
34,AAPL220916P00102500,2021-11-01 16:04:23,102.5,2.17,2.14,2.23,0.0,0.0,2.0,1845.0,0.3482731188964844,False,REGULAR,USD
35,AAPL220916P00105000,2021-11-04 18:40:49,105.0,2.46,2.36,2.46,0.0,0.0,171.0,8278.0,0.34149828430175777,False,REGULAR,USD
36,AAPL220916P00107500,2021-11-04 15:25:22,107.5,2.72,2.63,2.73,0.0,0.0,383.0,2561.0,0.3355779333496094,False,REGULAR,USD
37,AAPL220916P00110000,2021-11-04 19:41:29,110.0,3.05,2.93,3.05,0.0,0.0,371.0,11991.0,0.3305731005859375,False,REGULAR,USD
38,AAPL220916P00112500,2021-11-04 19:43:11,112.5,3.4,3.25,3.35,0.0,0.0,370.0,2366.0,0.32398136962890617,False,REGULAR,USD
39,AAPL220916P00115000,2021-11-04 19:46:44,115.0,3.75,3.55,3.7,0.0,0.0,182.0,8375.0,0.31830515686035155,False,REGULAR,USD
40,AAPL220916P00117500,2021-11-04 19:54:40,117.5,4.2,4.0,4.15,0.0,0.0,18.0,2763.0,0.3147041186523437,False,REGULAR,USD
41,AAPL220916P00120000,2021-11-03 19:25:05,120.0,4.62,4.45,4.55,0.0,0.0,6.0,7412.0,0.3086006640625,False,REGULAR,USD
42,AAPL220916P00122500,2021-11-04 16:18:51,122.5,5.0,4.9,5.05,0.0,0.0,66.0,5017.0,0.3043587631225586,False,REGULAR,USD
43,AAPL220916P00125000,2021-11-04 17:46:15,125.0,5.65,0.0,5.65,0.0,0.0,28.0,12536.0,0.30158169128417966,False,REGULAR,USD
44,AAPL220916P00130000,2021-11-04 17:47:13,130.0,6.9,6.75,6.9,0.0,0.0,167.0,8599.0,0.29386082122802726,False,REGULAR,USD
45,AAPL220916P00135000,2021-11-05 13:30:00,135.0,8.3,8.2,8.35,-0.010000229,-0.12033969,1.0,10575.0,0.28626202026367187,False,REGULAR,USD
46,AAPL220916P00140000,2021-11-04 19:25:30,140.0,10.28,10.0,10.15,0.0,0.0,25.0,6566.0,0.2814097738647461,False,REGULAR,USD
47,AAPL220916P00145000,2021-11-05 13:30:00,145.0,12.15,12.1,12.25,-0.35000038,-2.800003,1.0,5580.0,0.27768666656494134,False,REGULAR,USD
48,AAPL220916P00150000,2021-11-04 19:55:03,150.0,15.0,14.4,14.5,0.0,0.0,676.0,11622.0,0.2721630401611328,False,REGULAR,USD
49,AAPL220916P00155000,2021-11-04 19:37:29,155.0,17.55,17.1,17.3,0.0,0.0,135.0,2259.0,0.27201045379638666,True,REGULAR,USD
50,AAPL220916P00160000,2021-11-04 17:46:10,160.0,20.55,20.1,20.3,0.0,0.0,36.0,3777.0,0.2710033837890625,True,REGULAR,USD
51,AAPL220916P00165000,2021-11-04 15:17:33,165.0,23.9,23.25,23.5,0.0,0.0,31.0,957.0,0.26938596832275385,True,REGULAR,USD
52,AAPL220916P00170000,2021-11-04 19:24:08,170.0,27.2,26.65,26.85,0.0,0.0,2.0,971.0,0.26642579284667967,True,REGULAR,USD
53,AAPL220916P00175000,2021-11-04 17:01:34,175.0,30.99,30.4,30.6,0.0,0.0,2.0,460.0,0.2671887246704102,True,REGULAR,USD
54,AAPL220916P00180000,2021-11-04 19:42:50,180.0,35.05,34.1,34.3,0.0,0.0,106.0,404.0,0.263251996459961,True,REGULAR,USD
55,AAPL220916P00185000,2021-11-01 19:57:50,185.0,39.75,38.25,38.5,0.0,0.0,7.0,379.0,0.26642579284667967,True,REGULAR,USD
56,AAPL220916P00190000,2021-11-03 16:18:46,190.0,42.8,42.5,42.7,0.0,0.0,27.0,810.0,0.2666699310302735,True,REGULAR,USD
57,AAPL220916P00195000,2021-11-03 18:30:57,195.0,47.25,46.7,47.0,0.0,0.0,64.0,633.0,0.26636475830078127,True,REGULAR,USD
58,AAPL220916P00200000,2021-11-04 19:23:37,200.0,52.1,51.2,51.45,0.0,0.0,204.0,956.0,0.2672192419433594,True,REGULAR,USD
59,AAPL220916P00210000,2021-11-04 19:00:04,210.0,61.2,60.3,60.6,0.0,0.0,11.0,272.0,0.268989243774414,True,REGULAR,USD
60,AAPL220916P00220000,2021-11-04 18:58:46,220.0,70.4,69.8,70.2,0.0,0.0,6.0,410.0,0.27936511657714835,True,REGULAR,USD
61,AAPL220916P00225000,2021-10-13 18:36:08,225.0,75.34,74.35,74.75,0.0,0.0,1.0,542.0,0.270515107421875,True,REGULAR,USD
62,AAPL220916P00230000,2021-11-04 19:10:15,230.0,80.0,90.5,90.8,0.0,0.0,305.0,396.0,0.5731243859863282,True,REGULAR,USD
63,AAPL220916P00240000,2021-10-29 13:30:00,240.0,93.9,88.85,89.25,0.0,0.0,1.0,141.0,0.27136959106445313,True,REGULAR,USD
64,AAPL220916P00250000,2021-11-04 19:06:12,250.0,99.5,98.4,98.8,0.0,0.0,5.0,678.0,0.241218525390625,True,REGULAR,USD
65,AAPL220916P00260000,2021-10-21 16:04:15,260.0,111.47,108.6,109.0,0.0,0.0,1.0,238.0,0.28443098388671867,True,REGULAR,USD
66,AAPL220916P00270000,2020-08-25 18:09:01,270.0,17.32,17.15,18.4,0.020000458,0.115609586,1.0,148.0,1.0000000000000003e-05,True,REGULAR,USD
67,AAPL220916P00280000,2020-08-28 19:54:42,280.0,19.65,19.1,20.05,0.54999924,2.8795772,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
68,AAPL220916P00290000,2020-08-28 17:27:04,290.0,22.0,21.2,22.55,1.2999992,6.280189,1.0,233.0,1.0000000000000003e-05,True,REGULAR,USD
69,AAPL220916P00300000,2020-08-28 19:57:19,300.0,23.93,23.55,24.65,1.0500011,4.589166,25.0,334.0,1.0000000000000003e-05,True,REGULAR,USD
70,AAPL220916P00305000,2020-08-11 17:33:32,305.0,29.52,24.75,26.15,0.0,0.0,1.0,67.0,1.0000000000000003e-05,True,REGULAR,USD
71,AAPL220916P00310000,2020-08-24 17:31:36,310.0,25.4,26.4,27.35,0.0,0.0,12.0,785.0,1.0000000000000003e-05,True,REGULAR,USD
72,AAPL220916P00315000,2020-08-27 18:09:47,315.0,27.92,27.3,28.65,0.020000458,0.07168622,1.0,52.0,1.0000000000000003e-05,True,REGULAR,USD
73,AAPL220916P00320000,2020-08-27 17:48:35,320.0,29.72,28.65,30.1,0.01999855,0.06733519,2.0,90.0,1.0000000000000003e-05,True,REGULAR,USD
74,AAPL220916P00325000,2020-08-24 14:38:13,325.0,29.48,30.0,31.5,-0.010000229,-0.033910576,1.0,50.0,1.0000000000000003e-05,True,REGULAR,USD
75,AAPL220916P00330000,2020-08-27 15:10:03,330.0,31.08,31.45,32.95,0.020000458,0.06439298,2.0,30.0,1.0000000000000003e-05,True,REGULAR,USD
76,AAPL220916P00335000,2020-08-28 17:17:44,335.0,33.4,32.9,34.45,1.5000019,4.7022004,1.0,48.0,1.0000000000000003e-05,True,REGULAR,USD
77,AAPL220916P00340000,2020-08-24 14:34:43,340.0,33.6,34.45,35.95,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
78,AAPL220916P00345000,2020-08-25 19:11:18,345.0,35.52,36.0,37.55,0.020000458,0.056339316,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
79,AAPL220916P00350000,2020-08-28 15:31:55,350.0,38.75,37.6,39.2,1.0499992,2.7851439,6.0,119.0,1.0000000000000003e-05,True,REGULAR,USD
80,AAPL220916P00360000,2020-08-28 17:29:48,360.0,42.2,41.0,42.6,2.2400017,5.60561,2.0,460.0,1.0000000000000003e-05,True,REGULAR,USD
81,AAPL220916P00370000,2020-08-26 13:55:49,370.0,42.84,44.5,46.2,-0.0099983215,-0.023333305,2.0,90.0,1.0000000000000003e-05,True,REGULAR,USD
82,AAPL220916P00380000,2020-08-28 15:56:58,380.0,48.64,48.25,49.95,0.23999786,0.49586332,1.0,127.0,1.0000000000000003e-05,True,REGULAR,USD
83,AAPL220916P00390000,2020-08-28 19:11:56,390.0,52.72,52.25,53.95,1.1500015,2.2299817,1.0,47.0,1.0000000000000003e-05,True,REGULAR,USD
84,AAPL220916P00400000,2020-08-28 18:41:14,400.0,56.85,56.3,58.1,0.019996643,0.03518677,6.0,817.0,1.0000000000000003e-05,True,REGULAR,USD
85,AAPL220916P00410000,2020-08-28 15:54:18,410.0,60.75,60.6,62.45,-0.29999924,-0.49139923,2.0,68.0,1.0000000000000003e-05,True,REGULAR,USD
86,AAPL220916P00420000,2020-08-28 17:29:48,420.0,65.4,65.05,67.0,1.2200012,1.9009056,4.0,60.0,1.0000000000000003e-05,True,REGULAR,USD
87,AAPL220916P00430000,2020-08-28 16:56:43,430.0,69.05,69.75,71.75,-0.33999634,-0.48997885,1.0,114.0,1.0000000000000003e-05,True,REGULAR,USD
88,AAPL220916P00440000,2020-08-27 14:40:05,440.0,73.29,74.55,76.65,0.0,0.0,12.0,177.0,1.0000000000000003e-05,True,REGULAR,USD
89,AAPL220916P00450000,2020-08-28 18:09:55,450.0,80.0,79.6,81.75,-0.76000214,-0.9410625,1.0,123.0,1.0000000000000003e-05,True,REGULAR,USD
90,AAPL220916P00460000,2020-08-27 14:40:05,460.0,83.19,84.8,87.0,0.0,0.0,1.0,39.0,1.0000000000000003e-05,True,REGULAR,USD
91,AAPL220916P00470000,2020-08-27 15:14:28,470.0,87.15,90.15,92.45,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
92,AAPL220916P00480000,2020-08-27 16:28:32,480.0,95.45,95.7,98.05,0.0,0.0,2.0,7.0,1.0000000000000003e-05,True,REGULAR,USD
93,AAPL220916P00490000,2020-08-27 18:29:46,490.0,101.2,101.45,103.85,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
